epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.87914,1.02393,2.92013,1.29193,0.78989,0.83333,0.88858,0.63454,1.44475,1.35837,1.28634,0,0,0
2,0.986874,1.27663,3.105,1.61682,0.79097,0.75,0.87482,0.62433,1.45575,1.35118,1.28844,1.17822e-06,1.17822e-06,1.17822e-06
3,1.08757,1.27247,2.78734,1.53499,0.75288,0.75,0.87515,0.61369,1.46244,1.37838,1.2914,2.33288e-06,2.33288e-06,2.33288e-06
4,1.19829,1.1029,2.67382,1.31166,0.69845,0.75,0.87485,0.60078,1.49242,1.40651,1.30707,3.46397e-06,3.46397e-06,3.46397e-06
5,1.33026,1.1334,2.93126,1.52139,0.64264,0.75,0.87484,0.5966,1.53156,1.46461,1.32687,4.5715e-06,4.5715e-06,4.5715e-06
6,1.45456,1.14261,2.31442,1.3758,0.75144,0.75,0.88874,0.59065,1.53963,1.51389,1.33646,5.65548e-06,5.65548e-06,5.65548e-06
7,1.57524,1.5295,3.59096,1.81444,0.873,0.58333,0.88857,0.58983,1.56215,1.59799,1.36348,6.71588e-06,6.71588e-06,6.71588e-06
8,1.69759,1.36049,3.36684,1.78025,0.85688,0.58333,0.83309,0.57204,1.55994,1.64876,1.3595,7.75273e-06,7.75273e-06,7.75273e-06
9,1.82266,1.48302,2.75699,1.59299,0.82629,0.58333,0.83325,0.57188,1.56275,1.67947,1.36173,8.76602e-06,8.76602e-06,8.76602e-06
10,1.94455,1.33998,2.51209,1.64101,0.79313,0.58333,0.75067,0.5665,1.55853,1.72348,1.36274,9.75574e-06,9.75574e-06,9.75574e-06
11,2.06525,1.22642,1.9312,1.50669,0.78801,0.58333,0.74515,0.56392,1.54,1.74389,1.35235,1.07219e-05,1.07219e-05,1.07219e-05
12,2.18691,1.33264,3.0991,1.6022,0.76256,0.58333,0.74548,0.56398,1.54454,1.76046,1.36082,1.16645e-05,1.16645e-05,1.16645e-05
13,2.31037,1.14209,2.60532,1.45841,0.72764,0.58333,0.74478,0.56382,1.53227,1.79863,1.35617,1.25835e-05,1.25835e-05,1.25835e-05
14,2.43201,1.04803,2.3441,1.36717,0.71581,0.58333,0.66264,0.48778,1.53823,1.82789,1.36504,1.3479e-05,1.3479e-05,1.3479e-05
15,2.55401,1.22431,2.65265,1.55004,0.92577,0.374,0.66271,0.4878,1.54008,1.85403,1.3618,1.43509e-05,1.43509e-05,1.43509e-05
16,2.67695,1.07775,2.43562,1.36021,0.92311,0.37366,0.66275,0.46997,1.54471,1.89307,1.36952,1.51993e-05,1.51993e-05,1.51993e-05
17,2.80042,0.93101,2.93571,1.36717,0.91904,0.37345,0.57995,0.43053,1.54997,1.93553,1.37369,1.60241e-05,1.60241e-05,1.60241e-05
18,2.91887,0.94987,2.70663,1.31241,0.91904,0.37345,0.57995,0.43053,1.54997,1.93553,1.37369,1.68253e-05,1.68253e-05,1.68253e-05
19,3.04598,1.03483,2.22289,1.46698,0.91015,0.37293,0.54809,0.38683,1.57258,2.00713,1.38538,1.7603e-05,1.7603e-05,1.7603e-05
20,3.16239,1.07865,2.57203,1.40102,0.91015,0.37293,0.54809,0.38683,1.57258,2.00713,1.38538,1.83571e-05,1.83571e-05,1.83571e-05
21,3.28506,1.15445,2.27465,1.56291,0.91457,0.37309,0.51374,0.38742,1.60552,2.05856,1.40663,1.90876e-05,1.90876e-05,1.90876e-05
22,3.40214,1.10057,2.44591,1.49676,0.91457,0.37309,0.51374,0.38742,1.60552,2.05856,1.40663,1.97946e-05,1.97946e-05,1.97946e-05
23,3.52503,0.87311,1.78227,1.37642,0.90863,0.37236,0.51674,0.37895,1.63469,2.12974,1.42019,2.0478e-05,2.0478e-05,2.0478e-05
24,3.64069,0.76565,1.639,1.22232,0.90863,0.37236,0.51674,0.37895,1.63469,2.12974,1.42019,2.11379e-05,2.11379e-05,2.11379e-05
25,3.76398,0.77497,1.57577,1.19138,0.91024,0.37249,0.4933,0.337,1.6674,2.14902,1.43508,2.17741e-05,2.17741e-05,2.17741e-05
26,3.88041,1.12437,2.02254,1.35723,0.91024,0.37249,0.4933,0.337,1.6674,2.14902,1.43508,2.23869e-05,2.23869e-05,2.23869e-05
27,4.00436,1.06571,1.51412,1.34916,0.91592,0.37285,0.46642,0.33429,1.66675,2.1675,1.43459,2.2976e-05,2.2976e-05,2.2976e-05
28,4.11969,1.15404,1.27178,1.39264,0.91592,0.37285,0.46642,0.33429,1.66675,2.1675,1.43459,2.35417e-05,2.35417e-05,2.35417e-05
29,4.24333,1.15464,1.90999,1.50855,0.91546,0.37283,0.45248,0.32307,1.68886,2.21154,1.47806,2.40837e-05,2.40837e-05,2.40837e-05
30,4.35926,0.82174,1.77398,1.34973,0.91546,0.37283,0.45248,0.32307,1.68886,2.21154,1.47806,2.46022e-05,2.46022e-05,2.46022e-05
31,4.4828,0.95762,1.95196,1.35358,0.91313,0.37184,0.44232,0.31882,1.7037,2.26181,1.51698,2.50971e-05,2.50971e-05,2.50971e-05
32,4.59964,0.91168,1.60361,1.42083,0.91313,0.37184,0.44232,0.31882,1.7037,2.26181,1.51698,2.55685e-05,2.55685e-05,2.55685e-05
33,4.72322,0.89149,1.05305,1.31314,0.91191,0.37203,0.44436,0.3032,1.72606,2.26523,1.53856,2.60163e-05,2.60163e-05,2.60163e-05
34,4.83986,0.96715,1.40877,1.24421,0.91191,0.37203,0.44436,0.3032,1.72606,2.26523,1.53856,2.64405e-05,2.64405e-05,2.64405e-05
35,4.96487,0.72316,1.07509,1.09815,0.9131,0.37153,0.43818,0.29801,1.74538,2.27228,1.55861,2.68412e-05,2.68412e-05,2.68412e-05
36,5.08201,0.67905,1.5296,1.20248,0.9131,0.37153,0.43818,0.29801,1.74538,2.27228,1.55861,2.72183e-05,2.72183e-05,2.72183e-05
37,5.20678,0.96106,1.47915,1.4058,0.91619,0.37157,0.43548,0.30577,1.76843,2.33983,1.57029,2.75718e-05,2.75718e-05,2.75718e-05
38,5.32312,0.97723,1.29603,1.20955,0.91619,0.37157,0.43548,0.30577,1.76843,2.33983,1.57029,2.79018e-05,2.79018e-05,2.79018e-05
39,5.45068,0.56494,0.99128,0.97041,0.9164,0.37085,0.43706,0.3002,1.79933,2.38203,1.58405,2.82082e-05,2.82082e-05,2.82082e-05
40,5.5681,0.95177,1.48981,1.34752,0.9164,0.37085,0.43706,0.3002,1.79933,2.38203,1.58405,2.84911e-05,2.84911e-05,2.84911e-05
41,5.69116,0.75314,0.84694,1.09001,0.92549,0.37205,0.41085,0.27991,1.76763,2.4065,1.55214,2.87504e-05,2.87504e-05,2.87504e-05
42,5.80769,0.97931,1.17142,1.26955,0.92549,0.37205,0.41085,0.27991,1.76763,2.4065,1.55214,2.89861e-05,2.89861e-05,2.89861e-05
43,5.93097,0.71965,1.14281,1.22071,0.92635,0.37162,0.41059,0.31144,1.78293,2.42644,1.56311,2.91983e-05,2.91983e-05,2.91983e-05
44,6.04846,1.07771,2.00272,1.41057,0.92635,0.37162,0.41059,0.31144,1.78293,2.42644,1.56311,2.93869e-05,2.93869e-05,2.93869e-05
45,6.17111,0.77491,1.19185,1.24073,0.93176,0.37313,0.41078,0.29788,1.77096,2.41693,1.55137,2.9552e-05,2.9552e-05,2.9552e-05
46,6.28832,1.00238,1.09884,1.32519,0.93176,0.37313,0.41078,0.29788,1.77096,2.41693,1.55137,2.96935e-05,2.96935e-05,2.96935e-05
47,6.41009,1.16041,1.70091,1.41931,0.95024,0.38997,0.41952,0.29617,1.75945,2.40701,1.54092,2.98114e-05,2.98114e-05,2.98114e-05
48,6.52453,0.81267,0.79219,1.25667,0.95024,0.38997,0.41952,0.29617,1.75945,2.40701,1.54092,2.99058e-05,2.99058e-05,2.99058e-05
49,6.65051,0.62119,0.92454,1.10784,0.95335,0.389,0.41953,0.29619,1.7499,2.40035,1.52072,2.99766e-05,2.99766e-05,2.99766e-05
50,6.7673,0.82083,1.02463,1.20287,0.95335,0.389,0.41953,0.29619,1.7499,2.40035,1.52072,3.00238e-05,3.00238e-05,3.00238e-05
51,6.89127,0.76645,0.88839,1.1439,0.95673,0.38816,0.41959,0.30017,1.74613,2.36683,1.51091,3.00475e-05,3.00475e-05,3.00475e-05
52,7.00942,0.76441,1.21908,1.16582,0.95673,0.38816,0.41959,0.30017,1.74613,2.36683,1.51091,3.00476e-05,3.00476e-05,3.00476e-05
53,7.12821,0.83051,1.16451,1.19345,0.95673,0.38816,0.41959,0.30017,1.74613,2.36683,1.51091,3.00242e-05,3.00242e-05,3.00242e-05
54,7.25213,0.68614,0.88611,1.24126,0.95662,0.38722,0.4206,0.29637,1.75829,2.37152,1.50582,2.99772e-05,2.99772e-05,2.99772e-05
55,7.36909,0.66966,1.04711,1.08973,0.95662,0.38722,0.4206,0.29637,1.75829,2.37152,1.50582,2.99066e-05,2.99066e-05,2.99066e-05
56,7.48441,0.76339,0.92831,1.24683,0.95662,0.38722,0.4206,0.29637,1.75829,2.37152,1.50582,2.98125e-05,2.98125e-05,2.98125e-05
57,7.60786,0.6678,0.69823,1.07928,0.95978,0.38724,0.42322,0.30885,1.773,2.3879,1.50679,2.96948e-05,2.96948e-05,2.96948e-05
58,7.73103,0.68676,0.71475,1.22107,0.95978,0.38724,0.42322,0.30885,1.773,2.3879,1.50679,2.95535e-05,2.95535e-05,2.95535e-05
59,7.84754,0.91317,0.90808,1.10497,0.95978,0.38724,0.42322,0.30885,1.773,2.3879,1.50679,2.93887e-05,2.93887e-05,2.93887e-05
60,7.97454,0.82,1.58449,1.17854,0.96549,0.38677,0.42352,0.30818,1.7716,2.41397,1.50476,2.92003e-05,2.92003e-05,2.92003e-05
61,8.09233,0.7174,0.92656,1.00749,0.96549,0.38677,0.42352,0.30818,1.7716,2.41397,1.50476,2.89884e-05,2.89884e-05,2.89884e-05
62,8.21641,0.56199,0.73153,0.97252,0.96549,0.38677,0.42352,0.30818,1.7716,2.41397,1.50476,2.87529e-05,2.87529e-05,2.87529e-05
63,8.34078,0.74593,1.39351,1.24286,0.95416,0.39141,0.42608,0.30968,1.76726,2.35807,1.50525,2.84938e-05,2.84938e-05,2.84938e-05
64,8.45754,0.68613,0.87993,1.15869,0.95416,0.39141,0.42608,0.30968,1.76726,2.35807,1.50525,2.82112e-05,2.82112e-05,2.82112e-05
65,8.57557,0.77868,0.67673,1.16902,0.95416,0.39141,0.42608,0.30968,1.76726,2.35807,1.50525,2.7905e-05,2.7905e-05,2.7905e-05
66,8.70355,0.84957,1.28147,1.16547,0.94503,0.39474,0.42713,0.30774,1.77523,2.37679,1.51452,2.75753e-05,2.75753e-05,2.75753e-05
67,8.8215,0.93171,1.24278,1.32301,0.94503,0.39474,0.42713,0.30774,1.77523,2.37679,1.51452,2.7222e-05,2.7222e-05,2.7222e-05
68,8.93774,0.89733,0.90367,1.18772,0.94503,0.39474,0.42713,0.30774,1.77523,2.37679,1.51452,2.68451e-05,2.68451e-05,2.68451e-05
69,9.06127,0.76693,0.8209,1.12771,0.94417,0.39511,0.42396,0.29822,1.78833,2.41152,1.49251,2.64447e-05,2.64447e-05,2.64447e-05
70,9.17873,0.66506,0.64735,1.03762,0.94417,0.39511,0.42396,0.29822,1.78833,2.41152,1.49251,2.60207e-05,2.60207e-05,2.60207e-05
71,9.29963,0.62032,0.65149,1.05849,0.94417,0.39511,0.42396,0.29822,1.78833,2.41152,1.49251,2.55731e-05,2.55731e-05,2.55731e-05
72,9.42235,0.47408,0.77148,1.01795,0.90597,0.4,0.42551,0.29875,1.801,2.41621,1.50352,2.5102e-05,2.5102e-05,2.5102e-05
73,9.53785,0.72264,0.80096,1.12617,0.90597,0.4,0.42551,0.29875,1.801,2.41621,1.50352,2.46073e-05,2.46073e-05,2.46073e-05
74,9.65379,0.53417,0.66437,1.05581,0.90597,0.4,0.42551,0.29875,1.801,2.41621,1.50352,2.40891e-05,2.40891e-05,2.40891e-05
75,9.77723,0.74717,0.77899,1.11428,0.85779,0.4,0.42686,0.29782,1.7928,2.42598,1.49289,2.35472e-05,2.35472e-05,2.35472e-05
76,9.89602,0.58814,0.60078,1.03501,0.85779,0.4,0.42686,0.29782,1.7928,2.42598,1.49289,2.29819e-05,2.29819e-05,2.29819e-05
77,10.0132,0.75932,0.93436,1.11639,0.85779,0.4,0.42686,0.29782,1.7928,2.42598,1.49289,2.23929e-05,2.23929e-05,2.23929e-05
78,10.1384,0.86795,1.01631,1.27414,0.83119,0.4,0.42726,0.29815,1.76148,2.37459,1.45927,2.17805e-05,2.17805e-05,2.17805e-05
79,10.2553,0.67428,0.91445,1.13011,0.83119,0.4,0.42726,0.29815,1.76148,2.37459,1.45927,2.11444e-05,2.11444e-05,2.11444e-05
80,10.374,0.6098,0.5774,1.01609,0.83119,0.4,0.42726,0.29815,1.76148,2.37459,1.45927,2.04848e-05,2.04848e-05,2.04848e-05
81,10.4977,0.62596,1.21424,1.11107,0.83425,0.40156,0.42913,0.30052,1.7724,2.37708,1.45889,1.98016e-05,1.98016e-05,1.98016e-05
82,10.6149,0.66283,0.65208,1.2112,0.83425,0.40156,0.42913,0.30052,1.7724,2.37708,1.45889,1.90949e-05,1.90949e-05,1.90949e-05
83,10.7332,0.72881,0.81409,1.3156,0.83425,0.40156,0.42913,0.30052,1.7724,2.37708,1.45889,1.83646e-05,1.83646e-05,1.83646e-05
84,10.8582,0.69459,0.74296,1.06128,0.80631,0.4,0.42877,0.30747,1.78582,2.35249,1.46467,1.76107e-05,1.76107e-05,1.76107e-05
85,10.9783,0.67377,0.84333,1.15751,0.80631,0.4,0.42877,0.30747,1.78582,2.35249,1.46467,1.68333e-05,1.68333e-05,1.68333e-05
86,11.0985,0.59248,1.03626,1.07433,0.80631,0.4,0.42877,0.30747,1.78582,2.35249,1.46467,1.60323e-05,1.60323e-05,1.60323e-05
87,11.2155,1.21739,1.62064,1.63144,0.80631,0.4,0.42877,0.30747,1.78582,2.35249,1.46467,1.52077e-05,1.52077e-05,1.52077e-05
88,11.3391,0.59423,0.88171,1.07979,0.82357,0.41037,0.42959,0.29073,1.80638,2.32576,1.4708,1.43596e-05,1.43596e-05,1.43596e-05
89,11.4561,0.38023,0.80207,1.07677,0.82357,0.41037,0.42959,0.29073,1.80638,2.32576,1.4708,1.34879e-05,1.34879e-05,1.34879e-05
90,11.5728,0.84546,0.806,1.2685,0.82357,0.41037,0.42959,0.29073,1.80638,2.32576,1.4708,1.25927e-05,1.25927e-05,1.25927e-05
